=== Mind ===
  mind-fear | Fear
    gen-weakness-post-illness | Weakness after illness
    gen-weakness-post-surgery | Weakness after surgery
    gen-weakness-chronic-fatigue | Chronic fatigue weakness
  gen-faintness | Faintness, fainting
    gen-faintness-pain | Faintness from pain
    gen-faintness-warm-room | Faintness in warm room
    gen-faintness-crowd | Faintness in a crowd
    gen-faintness-standing | Faintness from standing
  gen-trembling | Trembling
    gen-trembling-anxiety | Trembling from anxiety
    gen-trembling-anger | Trembling from anger
  gen-convulsions | Convulsions
    gen-convulsions-children | Convulsions in children
    gen-convulsions-fever | Convulsions from fever
    gen-convulsions-epileptic | Epileptic convulsions
    gen-convulsions-febrile-child | Febrile convulsions in children
  gen-inflammation | Inflammation (general)
  gen-oedema | Swelling, oedema
    gen-oedema-dropsical | Dropsical swelling
  gen-anemia | Anemia
    gen-anemia-hemorrhage | Anemia after hemorrhage
    gen-anemia-iron-deficiency | Iron deficiency anemia
    gen-anemia-pregnancy | Anemia of pregnancy
    gen-anemia-chronic-disease | Anemia of chronic disease
  gen-cold-sensitive | Sensitivity to cold
    gen-cold-agg | Complaints worse from cold
    gen-cold-wet-agg | Complaints worse in cold wet weather
  gen-heat-sensitive | Sensitivity to heat
    gen-heat-agg | Complaints worse from heat
    gen-warm-room-agg | Complaints worse in warm room
    gen-summer-agg | Complaints worse in summer
  gen-touch-sensitive | Sensitive to touch
  gen-motion-worse | Worse from motion
  gen-rest-worse | Worse from rest
  gen-motion-better | Better from motion
  gen-rest-better | Better from rest
  gen-food-agg | Food aggravation
    gen-food-fatty-agg | Worse from fatty food
    gen-food-milk-agg | Worse from milk
    gen-food-cold-agg | Worse from cold food/drink
    gen-food-warm-amel | Better from warm food/drink
  gen-right-sided | Right-sided complaints
  gen-left-sided | Left-sided complaints
  gen-periodicity | Periodicity of complaints
    gen-periodic-daily | Daily periodicity of symptoms
    gen-periodic-weekly | Weekly periodicity
    gen-periodic-annual | Annual periodicity
  gen-emaciation | Emaciation
    gen-emaciation-eating-well | Emaciation despite eating well
  gen-obesity | Obesity
    gen-obesity-childhood | Childhood obesity
    gen-obesity-thyroid | Obesity from thyroid disorder
  gen-hemorrhage | Hemorrhage tendency
    gen-hemorrhage-bright | Bright red hemorrhage
    gen-hemorrhage-dark | Dark hemorrhage
  gen-injuries | Injuries
    gen-injuries-bruises | Bruises, contusions
    gen-injuries-sprains | Sprains, strains
    gen-injuries-wounds | Wounds
    gen-injuries-bones | Bone injuries, fractures
    gen-injuries-nerves | Nerve injuries
    gen-injuries-head | Head injuries / concussion
    gen-injuries-burns | Burns and scalds
    gen-injuries-bites | Animal/insect bites
    gen-injuries-nerve | Nerve injuries
    gen-injuries-tendon | Tendon injuries
    gen-injuries-bone | Bone injuries/fractures
  gen-vaccination-effects | Ill effects of vaccination
  gen-diabetes | Diabetes mellitus
    gen-diabetes-thirst | Diabetes with excessive thirst
    gen-diabetes-weakness | Diabetes with weakness
    gen-diabetes-polyuria | Diabetes with polyuria
    gen-diabetes-gangrene | Diabetic gangrene
  gen-cancerous | Cancerous affections
  gen-convalescence | Slow convalescence
    gen-conval-slow | Slow convalescence
    gen-conval-relapse | Tendency to relapse
  gen-suppuration | Tendency to suppuration
  gen-septic | Septic conditions
=== Hearing ===
  hearing-impaired | Hearing impaired
    hearing-impaired-catarrh | From catarrh
    hearing-impaired-nerve | Nerve deafness
  hearing-acute | Hearing acute/oversensitive
    hearing-acute-noise | Sensitive to noise
    hearing-acute-music | Sensitive to music
  hearing-illusions | Illusions of hearing
  hearing-lost | Lost hearing (deafness)
=== Urine ===
  urine-color-dark | Dark urine
  urine-color-red | Red/blood in urine
  urine-color-milky | Milky urine
  urine-odor-strong | Strong-smelling urine
  urine-sediment-red-sand | Red sand in urine
  urine-albumin | Albumin in urine
  urine-sugar | Sugar in urine
  urine-copious | Copious urine (polyuria)
  urine-scanty | Scanty urine (oliguria)
  urine-cloudy | Cloudy urine
=== Bladder ===
  bladder-cystitis | Cystitis
    bladder-cystitis-acute | Acute cystitis
    bladder-cystitis-chronic | Chronic cystitis
  bladder-retention | Retention of urine
  bladder-urging | Urging to urinate
    bladder-urging-frequent | Frequent urging
    bladder-urging-ineffectual | Ineffectual urging
  bladder-incontinence | Incontinence
    bladder-incontinence-night | Night incontinence (enuresis)
    bladder-incontinence-cough | Incontinence from coughing/sneezing
  bladder-tenesmus | Tenesmus of bladder
  bladder-pain | Bladder pain
  bladder-spasm | Spasm of bladder
=== Urethra ===
  urethra-discharge | Urethral discharge
    urethra-discharge-purulent | Purulent discharge
    urethra-discharge-gleety | Gleety discharge
  urethra-burning | Burning in urethra
    urethra-burning-urination | Burning during urination
  urethra-pain | Pain in urethra
  urethra-stricture | Urethral stricture
  urethra-itching | Itching in urethra
=== Kidneys ===
  kidneys-pain | Kidney pain
    kidneys-pain-stitching | Stitching kidney pain
    kidneys-pain-aching | Aching kidney pain
    kidneys-pain-walking | Kidney pain while walking
  kidneys-inflammation | Nephritis
    kidneys-inflammation-acute | Acute nephritis
    kidneys-inflammation-chronic | Chronic nephritis
  kidneys-stones | Kidney stones
    kidneys-stones-right | Right kidney stones
    kidneys-stones-left | Left kidney stones
    kidneys-stones-colic | Renal colic
    kidneys-stones-uric | Uric acid stones
    kidneys-stones-phosphate | Phosphate stones
  kidneys-suppression | Suppression of urine
  kidneys-addison | Addison's disease
=== Immune System & Allergies ===
  immune-allergy | Allergies (general)
    immune-allergy-dust | Dust allergy
    immune-allergy-pollen | Pollen allergy
    immune-allergy-food | Food allergy
    immune-allergy-animal | Animal dander allergy
    immune-allergy-drug | Drug allergy
    immune-allergy-mold | Mold allergy
    immune-allergy-seasonal | Seasonal allergy
    immune-allergy-skin | Contact allergic dermatitis
    immune-allergy-chemical | Chemical sensitivity (MCS)
    immune-allergy-insect-sting | Insect sting allergy
    immune-allergy-latex | Latex allergy
    immune-allergy-penicillin | Penicillin allergy
    immune-allergy-shellfish | Shellfish allergy
  immune-hay-fever | Hay fever (allergic rhinitis)
    immune-hay-fever-spring | Spring hay fever
    immune-hay-fever-autumn | Autumn hay fever
    immune-hay-fever-eyes | Hay fever with itchy eyes
    immune-hay-fever-asthma | Hay fever with asthma
    immune-hay-fever-perennial | Perennial allergic rhinitis
  immune-autoimmune | Autoimmune conditions
    immune-lupus | Lupus (SLE)
    immune-hashimoto | Hashimoto's thyroiditis
    immune-ms | Multiple sclerosis
    immune-ra | Rheumatoid arthritis
    immune-psoriatic-arthritis | Psoriatic arthritis
    immune-crohn | Crohn's disease
    immune-ulcerative-colitis | Ulcerative colitis
    immune-celiac-autoimmune | Celiac disease (autoimmune)
    immune-vitiligo-autoimmune | Autoimmune vitiligo
    immune-alopecia-autoimmune | Autoimmune alopecia
    immune-sarcoidosis | Sarcoidosis
  immune-low-immunity | Low immunity / frequent infections
    immune-recurrent-cold | Recurrent colds
    immune-recurrent-throat | Recurrent throat infections
    immune-post-illness | Slow recovery after illness
    immune-post-antibiotic | Low immunity after antibiotics
    immune-post-steroid | Low immunity after steroids
  immune-urticaria | Urticaria (hives)
    immune-urticaria-acute | Acute urticaria
    immune-urticaria-chronic | Chronic urticaria
    immune-urticaria-cold | Urticaria from cold
    immune-urticaria-heat | Urticaria from heat
    immune-urticaria-exercise | Urticaria from exercise
    immune-urticaria-food | Urticaria from food
    immune-urticaria-stress | Urticaria from stress
    immune-urticaria-sun | Solar urticaria
  immune-anaphylaxis | Anaphylactic tendency
=== Endocrine & Hormonal ===
  endo-thyroid | Thyroid disorders
    endo-hypothyroid | Hypothyroidism
    endo-hyperthyroid | Hyperthyroidism
    endo-goitre-simple | Simple goitre
    endo-goitre-nodular | Nodular goitre
    endo-thyroid-nodule | Thyroid nodules
    endo-graves | Graves' disease
    endo-thyroiditis-postpartum | Postpartum thyroiditis
    endo-thyroid-weight-gain | Weight gain from hypothyroidism
    endo-thyroid-antibodies | Thyroid antibodies elevated
    endo-thyroid-cancer-support | Thyroid cancer supportive care
  endo-diabetes | Diabetes
    endo-diabetes-type2 | Type 2 diabetes
    endo-diabetes-neuropathy | Diabetic neuropathy
    endo-diabetes-retinopathy | Diabetic retinopathy
    endo-diabetes-nephropathy | Diabetic nephropathy
    endo-diabetes-foot-ulcer | Diabetic foot ulcer
    endo-pre-diabetes | Pre-diabetes / insulin resistance
    endo-diabetes-gestational | Gestational diabetes
    endo-diabetes-polydipsia | Diabetes with excessive thirst
    endo-diabetes-wound-healing | Diabetes with poor wound healing
  endo-adrenal | Adrenal disorders
    endo-adrenal-fatigue | Adrenal fatigue
    endo-addison | Addison's disease
    endo-cushing | Cushing's syndrome
    endo-adrenal-stress | Adrenal stress response
  endo-pcos | PCOS (Polycystic ovarian syndrome)
    endo-pcos-acne | PCOS with acne
    endo-pcos-hair-growth | PCOS with hirsutism
    endo-pcos-irregular-menses | PCOS with irregular menses
    endo-pcos-weight-gain | PCOS with weight gain
    endo-pcos-infertility | PCOS with infertility
    endo-pcos-hair-loss | PCOS with hair loss
    endo-pcos-depression | PCOS with depression
    endo-pcos-insulin-resistance | PCOS with insulin resistance
  endo-growth-disorders | Growth disorders
    endo-dwarfism | Dwarfism / delayed growth
    endo-gigantism | Excessive growth
    endo-precocious-puberty | Precocious puberty
    endo-delayed-puberty | Delayed puberty
  endo-obesity-hormonal | Hormonal obesity
    endo-metabolic-syndrome | Metabolic syndrome
=== Nervous System & Neurology ===
  nerv-neuralgia | Neuralgia
    nerv-trigeminal | Trigeminal neuralgia
    nerv-intercostal | Intercostal neuralgia
    nerv-occipital | Occipital neuralgia
    nerv-post-herpetic | Post-herpetic neuralgia
    nerv-glossopharyngeal | Glossopharyngeal neuralgia
    nerv-neuralgia-dental | Dental neuralgia
    nerv-neuralgia-weather | Neuralgia worse in weather change
  nerv-neuropathy | Peripheral neuropathy
    nerv-neuropathy-diabetic | Diabetic neuropathy
    nerv-neuropathy-alcoholic | Alcoholic neuropathy
    nerv-neuropathy-tingling | Neuropathy with tingling
    nerv-neuropathy-burning | Neuropathy with burning
    nerv-neuropathy-numbness | Neuropathy with numbness
    nerv-neuropathy-chemotherapy | Chemotherapy-induced neuropathy
    nerv-neuropathy-b12 | Neuropathy from B12 deficiency
  nerv-epilepsy | Epilepsy
    nerv-epilepsy-grand-mal | Grand mal seizures
    nerv-epilepsy-petit-mal | Petit mal (absence seizures)
    nerv-epilepsy-aura | Epilepsy with aura
    nerv-epilepsy-nocturnal | Nocturnal epilepsy
    nerv-epilepsy-fright | Epilepsy from fright
    nerv-epilepsy-menstrual | Catamenial epilepsy
    nerv-epilepsy-febrile | Febrile seizures in children
    nerv-epilepsy-head-injury | Epilepsy from head injury
  nerv-parkinson | Parkinson's disease
    nerv-parkinson-tremor | Parkinsonian tremor
    nerv-parkinson-rigidity | Parkinsonian rigidity
    nerv-parkinson-gait | Parkinsonian gait
    nerv-parkinson-drooling | Parkinson's with drooling
  nerv-ms | Multiple sclerosis
    nerv-ms-optic-neuritis | Optic neuritis
    nerv-ms-numbness | MS with numbness
    nerv-ms-fatigue | MS with fatigue
  nerv-bells-palsy | Bell's palsy
    nerv-bells-palsy-right | Bell's palsy right side
    nerv-bells-palsy-left | Bell's palsy left side
    nerv-bells-palsy-cold | Bell's palsy from cold exposure
    nerv-bells-palsy-pregnancy | Bell's palsy in pregnancy
  nerv-stroke | Stroke / Cerebrovascular
    nerv-stroke-right | Right-sided paralysis
    nerv-stroke-left | Left-sided paralysis
    nerv-stroke-speech | Post-stroke speech difficulty
    nerv-stroke-memory | Post-stroke memory problems
    nerv-stroke-depression | Post-stroke depression
  nerv-migraine-chronic | Chronic migraine
    nerv-migraine-cluster | Cluster headache
    nerv-migraine-tension | Tension headache
    nerv-migraine-hormonal | Hormonal migraine
    nerv-migraine-sinus | Sinus headache
    nerv-migraine-cervicogenic | Cervicogenic headache
    nerv-migraine-medication-overuse | Medication-overuse headache
    nerv-migraine-vestibular | Vestibular migraine
  nerv-tourette | Tourette syndrome / Tics
    nerv-tics-motor | Motor tics
    nerv-tics-vocal | Vocal tics
  nerv-essential-tremor | Essential tremor
  nerv-tinnitus | Tinnitus
    nerv-tinnitus-ringing | Ringing tinnitus
    nerv-tinnitus-buzzing | Buzzing tinnitus
    nerv-tinnitus-pulsatile | Pulsatile tinnitus
    nerv-tinnitus-meniere | Tinnitus with Meniere's
    nerv-tinnitus-ear-wax | Tinnitus from ear wax
    nerv-tinnitus-medication | Tinnitus from medication
    nerv-tinnitus-high-pitched | High-pitched tinnitus
    nerv-tinnitus-low-hum | Low humming tinnitus
  nerv-vertigo-chronic | Chronic vertigo / BPPV
    nerv-bppv | Benign positional vertigo
    nerv-labyrinthitis | Labyrinthitis
    nerv-vestibular | Vestibular neuritis
    nerv-vertigo-cervical | Cervical vertigo
  nerv-chorea | Chorea
  nerv-restless-legs | Restless leg syndrome
    nerv-rls-night | Restless legs at night
    nerv-rls-pregnancy | Restless legs in pregnancy
    nerv-rls-iron-deficiency | RLS from iron deficiency
=== Mental Health & Psychiatry ===
  mh-depression | Depression
    mh-depression-grief | Depression from grief
    mh-depression-postpartum | Postpartum depression
    mh-depression-seasonal | Seasonal affective disorder
    mh-depression-chronic | Chronic depression
    mh-depression-elderly | Depression in elderly
    mh-depression-bipolar | Bipolar depression
    mh-depression-suicidal | Depression with suicidal ideation
    mh-depression-anxiety | Depression with anxiety
    mh-depression-teens | Depression in teenagers
    mh-depression-financial | Depression from financial loss
    mh-depression-menopausal | Menopausal depression
  mh-anxiety-disorder | Anxiety disorders
    mh-gad | Generalized anxiety disorder (GAD)
    mh-panic-disorder | Panic disorder
    mh-panic-attack | Panic attacks
    mh-social-phobia | Social phobia / social anxiety
    mh-agoraphobia | Agoraphobia
    mh-stage-fright | Performance anxiety / stage fright
    mh-health-anxiety | Health anxiety (hypochondria)
    mh-separation-anxiety | Separation anxiety
    mh-anxiety-children | Anxiety in children
    mh-anxiety-exam | Examination anxiety
    mh-anxiety-morning-waking | Anxiety on waking in morning
    mh-anxiety-nighttime | Anxiety worse at night
    mh-anxiety-crowded | Anxiety in crowded places
  mh-ocd | OCD (Obsessive-compulsive disorder)
    mh-ocd-washing | OCD washing/cleaning compulsion
    mh-ocd-checking | OCD checking compulsion
    mh-ocd-intrusive | OCD with intrusive thoughts
    mh-ocd-counting | OCD counting compulsion
    mh-ocd-symmetry | OCD symmetry obsession
  mh-ptsd | PTSD (Post-traumatic stress)
    mh-ptsd-flashbacks | PTSD with flashbacks
    mh-ptsd-nightmares | PTSD with nightmares
    mh-ptsd-hypervigilance | PTSD with hypervigilance
    mh-ptsd-childhood | Childhood PTSD
  mh-adhd | ADHD
    mh-adhd-children | ADHD in children
    mh-adhd-inattentive | ADHD inattentive type
    mh-adhd-hyperactive | ADHD hyperactive type
    mh-adhd-adult | Adult ADHD
    mh-adhd-combined | ADHD combined type
  mh-autism | Autism spectrum disorder
    mh-autism-children | Autism in children
    mh-asperger | Asperger's syndrome
  mh-phobias | Specific phobias
    mh-phobia-flying | Fear of flying
    mh-phobia-spiders | Fear of spiders
    mh-phobia-blood | Fear of blood/needles
    mh-phobia-dogs | Fear of dogs
    mh-claustrophobia | Claustrophobia
    mh-acrophobia | Acrophobia (fear of heights)
    mh-phobia-water | Fear of water (hydrophobia)
    mh-phobia-storms | Fear of thunderstorms
  mh-eating-disorder | Eating disorders
    mh-anorexia | Anorexia nervosa
    mh-bulimia | Bulimia nervosa
    mh-binge-eating | Binge eating disorder
    mh-overeating-comfort | Comfort eating / emotional eating
  mh-insomnia-chronic | Chronic insomnia
    mh-insomnia-stress | Insomnia from stress
    mh-insomnia-grief | Insomnia from grief
    mh-insomnia-menopause | Insomnia of menopause
    mh-insomnia-anxiety-3am | Waking at 3 AM with anxiety
    mh-insomnia-overwork | Insomnia from mental overwork
  mh-addiction | Addiction / substance dependence
    mh-addiction-alcohol | Alcohol dependence
    mh-addiction-tobacco | Tobacco dependence
    mh-addiction-drug | Drug dependence
    mh-addiction-food | Food addiction
    mh-addiction-screen | Screen/internet addiction
  mh-burnout | Burnout / chronic fatigue
    mh-cfs | Chronic fatigue syndrome
    mh-fibromyalgia | Fibromyalgia
    mh-burnout-work | Work-related burnout
    mh-cfs-post-viral | Post-viral chronic fatigue
    mh-fibromyalgia-weather | Fibromyalgia worse in weather changes
  mh-grief | Grief and bereavement
    mh-grief-acute | Acute grief
    mh-grief-prolonged | Prolonged/complicated grief
    mh-grief-heartbreak | Heartbreak / disappointed love
    mh-grief-children | Grief in children
    mh-grief-pet-loss | Grief from loss of pet
=== Cardiovascular System ===
  cv-hypertension | Hypertension (high blood pressure)
    cv-hypertension-essential | Essential hypertension
    cv-hypertension-renal | Renal hypertension
    cv-hypertension-headache | Hypertension with headache
    cv-hypertension-anxiety | Hypertension from anxiety
    cv-hypertension-pregnancy | Pregnancy-induced hypertension
    cv-hypertension-white-coat | White coat hypertension
    cv-hypertension-elderly | Hypertension in elderly
    cv-hypertension-stress | Stress-induced hypertension
    cv-hypertension-salt-sensitive | Salt-sensitive hypertension
  cv-hypotension | Hypotension (low blood pressure)
    cv-hypotension-orthostatic | Orthostatic hypotension
    cv-hypotension-chronic | Chronic low blood pressure
  cv-arrhythmia | Heart arrhythmia
    cv-afib | Atrial fibrillation
    cv-tachycardia | Tachycardia
    cv-bradycardia | Bradycardia
    cv-extrasystole | Extrasystole / missed beats
    cv-arrhythmia-anxiety | Arrhythmia from anxiety
    cv-arrhythmia-caffeine | Arrhythmia from caffeine
    cv-arrhythmia-thyroid | Arrhythmia from thyroid
    cv-arrhythmia-menopause | Arrhythmia at menopause
  cv-arteriosclerosis | Arteriosclerosis
    cv-atherosclerosis | Atherosclerosis
    cv-cholesterol-high | High cholesterol
    cv-triglycerides-high | High triglycerides
    cv-peripheral-arterial | Peripheral arterial disease
  cv-raynaud | Raynaud's phenomenon
  cv-dvt | Deep vein thrombosis
  cv-phlebitis | Phlebitis
  cv-varicose-ulcer | Varicose ulcers
  cv-aneurysm | Aneurysm tendency
  cv-heart-valve | Heart valve disease
    cv-mitral-valve | Mitral valve disease
    cv-aortic-valve | Aortic valve disease
    cv-heart-murmur | Heart murmur
=== Gastrointestinal Conditions ===
  gi-ibs | Irritable bowel syndrome (IBS)
    gi-ibs-diarrhea | IBS with diarrhea
    gi-ibs-constipation | IBS with constipation
    gi-ibs-alternating | IBS alternating type
    gi-ibs-bloating | IBS with bloating
    gi-ibs-stress | IBS triggered by stress
    gi-ibs-mucus | IBS with mucus in stool
    gi-ibs-morning-rush | IBS with morning rush
    gi-ibs-post-meal | IBS worse after meals
    gi-ibs-flatulence | IBS with excessive flatulence
    gi-ibs-anxiety-related | IBS triggered by anxiety
    gi-ibs-gas-offensive | IBS with offensive gas
  gi-gerd | GERD / Acid reflux
    gi-gerd-night | Acid reflux at night
    gi-gerd-chronic | Chronic GERD
    gi-gerd-pregnancy | GERD in pregnancy
    gi-gerd-water-brash | GERD with water brash
  gi-crohn | Crohn's disease
    gi-crohn-abdominal | Crohn's with abdominal pain
    gi-crohn-diarrhea | Crohn's with diarrhea
    gi-crohn-fistula | Crohn's with fistulae
    gi-crohn-weight-loss | Crohn's with weight loss
  gi-colitis | Ulcerative colitis
    gi-colitis-bloody | Colitis with bloody stool
    gi-colitis-tenesmus | Colitis with tenesmus
    gi-colitis-mucus | Colitis with mucus
  gi-celiac | Celiac disease / gluten intolerance
    gi-celiac-diarrhea | Celiac with chronic diarrhea
    gi-celiac-bloating | Celiac with bloating
    gi-celiac-weight-loss | Celiac with weight loss
    gi-celiac-anemia | Celiac with anemia
  gi-diverticulitis | Diverticulitis
  gi-gastroenteritis | Gastroenteritis
    gi-gastro-viral | Viral gastroenteritis
    gi-gastro-food-poisoning | Food poisoning
    gi-gastro-traveler | Traveler's diarrhea
    gi-gastro-children | Gastroenteritis in children
    gi-gastro-rotavirus | Rotavirus gastroenteritis
  gi-lactose-intolerance | Lactose intolerance
  gi-food-intolerance | Food intolerance
  gi-candida | Candida / gut dysbiosis
  gi-sibo | SIBO
=== Musculoskeletal & Orthopedic ===
  msk-frozen-shoulder | Frozen shoulder
    msk-frozen-shoulder-right | Right frozen shoulder
    msk-frozen-shoulder-left | Left frozen shoulder
    msk-frozen-shoulder-post-injury | Frozen shoulder after injury
  msk-tennis-elbow | Tennis elbow (epicondylitis)
  msk-carpal-tunnel | Carpal tunnel syndrome
    msk-carpal-tunnel-numbness | CTS with numbness
    msk-carpal-tunnel-pregnancy | CTS in pregnancy
    msk-carpal-tunnel-tingling | CTS with tingling fingers
  msk-plantar-fasciitis | Plantar fasciitis
    msk-plantar-morning | Plantar fasciitis worse mornings
    msk-heel-spur | Heel spur
    msk-plantar-chronic | Chronic plantar fasciitis
  msk-fibromyalgia | Fibromyalgia
    msk-fibro-tender-points | Fibromyalgia with tender points
    msk-fibro-fatigue | Fibromyalgia with fatigue
    msk-fibro-fog | Fibromyalgia with brain fog
    msk-fibro-sleep | Fibromyalgia with disturbed sleep
  msk-osteoporosis | Osteoporosis
    msk-osteoporosis-postmenopausal | Postmenopausal osteoporosis
    msk-osteoporosis-fracture | Osteoporotic fractures
    msk-osteoporosis-steroid | Steroid-induced osteoporosis
  msk-ankylosing-spondylitis | Ankylosing spondylitis
  msk-bursitis | Bursitis
    msk-bursitis-shoulder | Shoulder bursitis
    msk-bursitis-knee | Knee bursitis
    msk-bursitis-hip | Hip bursitis
    msk-bursitis-elbow | Elbow bursitis
    msk-bursitis-trochanteric | Trochanteric bursitis
  msk-tendonitis | Tendonitis
    msk-achilles | Achilles tendonitis
    msk-tendonitis-rotator | Rotator cuff tendonitis
    msk-tendonitis-wrist | Wrist tendonitis
    msk-tendonitis-patellar | Patellar tendonitis
  msk-disc-prolapse | Disc prolapse / herniation
    msk-disc-lumbar | Lumbar disc herniation
    msk-disc-cervical | Cervical disc herniation
    msk-disc-thoracic | Thoracic disc herniation
    msk-disc-sciatica | Disc prolapse with sciatica
  msk-whiplash | Whiplash injury
  msk-spondylosis | Cervical/lumbar spondylosis
    msk-spondylosis-cervical | Cervical spondylosis
    msk-spondylosis-lumbar | Lumbar spondylosis
    msk-spondylosis-thoracic | Thoracic spondylosis
  msk-costochondritis | Costochondritis
  msk-tmj | TMJ disorder
=== Dermatology (Skin Diseases) ===
  derm-acne | Acne
    derm-acne-vulgaris | Acne vulgaris
    derm-acne-cystic | Cystic acne
    derm-acne-rosacea | Acne rosacea
    derm-acne-hormonal | Hormonal acne
    derm-acne-back | Back acne
    derm-acne-scars | Acne scars
    derm-acne-forehead | Acne on forehead
    derm-acne-chin | Acne on chin
    derm-acne-chest | Acne on chest
    derm-acne-shoulders | Acne on shoulders
  derm-psoriasis | Psoriasis
    derm-psoriasis-scalp | Scalp psoriasis
    derm-psoriasis-guttate | Guttate psoriasis
    derm-psoriasis-plaque | Plaque psoriasis
    derm-psoriasis-nail | Nail psoriasis
    derm-psoriasis-inverse | Inverse psoriasis
    derm-psoriasis-palmar | Palmar psoriasis
    derm-psoriasis-elbow | Psoriasis on elbows
    derm-psoriasis-knee | Psoriasis on knees
    derm-psoriasis-winter | Psoriasis worse in winter
    derm-psoriasis-stress | Psoriasis flare from stress
  derm-eczema | Eczema / Atopic dermatitis
    derm-eczema-hands | Hand eczema
    derm-eczema-face | Facial eczema
    derm-eczema-flexures | Flexural eczema
    derm-eczema-children | Infantile eczema
    derm-eczema-seborrheic | Seborrheic dermatitis
    derm-eczema-nummular | Nummular eczema
    derm-eczema-weeping | Weeping eczema
    derm-eczema-dry | Dry eczema
    derm-eczema-scalp | Eczema on scalp
    derm-eczema-eyelids | Eczema on eyelids
    derm-eczema-ear | Eczema behind ears
    derm-eczema-ankle | Eczema around ankles
  derm-vitiligo | Vitiligo
    derm-vitiligo-spreading | Spreading vitiligo
    derm-vitiligo-face | Vitiligo on face
    derm-vitiligo-hands | Vitiligo on hands
  derm-lichen-planus | Lichen planus
    derm-lichen-oral | Oral lichen planus
    derm-lichen-skin | Cutaneous lichen planus
    derm-lichen-nail | Lichen planus on nails
    derm-lichen-genital | Genital lichen planus
  derm-herpes-simplex | Herpes simplex
    derm-cold-sore | Cold sores (HSV-1)
    derm-herpes-genital | Genital herpes (HSV-2)
    derm-herpes-recurrent | Recurrent herpes
    derm-herpes-lip | Herpes on lips
    derm-herpes-nose | Herpes on nose
  derm-shingles | Shingles (Herpes zoster)
    derm-shingles-pain | Shingles with severe pain
    derm-shingles-post-herpetic | Post-herpetic neuralgia
    derm-shingles-face | Shingles on face
  derm-fungal | Fungal infections
    derm-ringworm-body | Ringworm (body)
    derm-ringworm-scalp | Ringworm (scalp)
    derm-athlete-foot | Athlete's foot
    derm-jock-itch | Jock itch
    derm-nail-fungus | Nail fungus (onychomycosis)
    derm-candida-skin | Cutaneous candidiasis
    derm-fungal-intertrigo | Intertrigo (fungal skin fold)
    derm-fungal-groin | Fungal infection groin (tinea cruris)
  derm-urticaria-skin | Urticaria (skin)
  derm-keloid | Keloid / hypertrophic scars
  derm-melasma | Melasma / chloasma
  derm-alopecia | Alopecia (hair loss)
    derm-alopecia-areata | Alopecia areata
    derm-alopecia-male | Male pattern baldness
    derm-alopecia-female | Female hair thinning
    derm-alopecia-postpartum | Postpartum hair loss
    derm-alopecia-chemotherapy | Hair loss from chemotherapy
    derm-alopecia-stress | Hair loss from stress (telogen effluvium)
  derm-hyperhidrosis | Hyperhidrosis (excessive sweating)
    derm-hyperhidrosis-palms | Sweaty palms
    derm-hyperhidrosis-feet | Sweaty feet
    derm-hyperhidrosis-axillae | Axillary hyperhidrosis
    derm-hyperhidrosis-night | Night sweats
=== Pediatrics (Children) ===
  ped-colic | Infantile colic
    ped-colic-evening | Colic worse evening
    ped-colic-after-feed | Colic after feeding
    ped-colic-carried-amel | Colic better when carried
    ped-colic-gas | Colic with gas distension
    ped-colic-breastfed | Colic in breastfed infants
    ped-colic-formula-fed | Colic in formula-fed infants
  ped-teething | Teething problems
    ped-teething-fever | Teething with fever
    ped-teething-diarrhea | Teething with diarrhea
    ped-teething-irritable | Teething with irritability
    ped-teething-delayed | Delayed teething
    ped-teething-sleepless | Teething with sleeplessness
  ped-bedwetting | Bedwetting (enuresis)
    ped-bedwetting-deep-sleep | Bedwetting during deep sleep
    ped-bedwetting-emotional | Bedwetting from emotional causes
    ped-bedwetting-habitual | Habitual bedwetting
  ped-growth-issues | Growth and development issues
    ped-failure-to-thrive | Failure to thrive
    ped-slow-walking | Late walking
    ped-slow-talking | Late talking
    ped-delayed-milestones | Delayed developmental milestones
    ped-delayed-fontanelle | Open fontanelle after 18 months
  ped-recurrent-infections | Recurrent childhood infections
    ped-recurrent-otitis | Recurrent ear infections
    ped-recurrent-tonsils | Recurrent tonsillitis
    ped-recurrent-cold | Recurrent colds in children
    ped-recurrent-cough | Recurrent cough in children
    ped-recurrent-bronchiolitis | Recurrent bronchiolitis
    ped-recurrent-sinusitis | Recurrent sinusitis in children
    ped-recurrent-uti | Recurrent UTI in children
  ped-worms | Worm infestations
    ped-pinworm | Pinworm infestation
    ped-roundworm | Roundworm infestation
    ped-tapeworm | Tapeworm infestation
  ped-chicken-pox | Chicken pox
  ped-measles | Measles
  ped-mumps | Mumps
  ped-whooping-cough | Whooping cough (pertussis)
  ped-diaper-rash | Diaper rash / nappy rash
  ped-cradle-cap | Cradle cap
  ped-night-terrors | Night terrors
    ped-night-terrors-screaming | Night terrors with screaming
    ped-night-terrors-sweating | Night terrors with sweating
  ped-school-phobia | School phobia / school refusal
=== Ophthalmology (Eye Diseases) ===
  oph-conjunctivitis | Conjunctivitis types
    oph-conj-allergic | Allergic conjunctivitis
    oph-conj-bacterial | Bacterial conjunctivitis
    oph-conj-viral | Viral conjunctivitis
    oph-conj-newborn | Neonatal conjunctivitis
    oph-conj-chronic | Chronic conjunctivitis
